,entity_id,name,category_code,status,country_code,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,Average_inevstment_time
168581,57123,Data Impact,software,1,USA,,,0,0,20/09/2010,20/09/2010,1,5000000,24/01/2011,24/01/2011,1,3,50.0
168599,5714,CityMint,mobile,0,USA,,,0,0,,,0,0,01/01/2007,01/01/2007,1,9,50.0
168605,57145,Gyst,search,0,NGA,,,0,0,01/03/2010,01/03/2010,1,100000,01/06/2010,13/05/2011,2,2,50.0
168618,5716,Jamba,mobile,1,USA,,,0,0,,,0,0,01/01/2004,01/01/2004,1,8,50.0
168624,57165,Tensilica,software,1,USA,,,0,0,,,0,0,01/01/1999,21/09/2010,2,5,50.0
168627,57168,IMAX,unknown,1,CAN,21/09/2010,21/09/2010,1,1,,,0,0,01/09/2011,01/09/2011,1,2,0.0
168629,5717,Tokoni,web,0,USA,,,0,0,,,0,0,22/05/2008,30/06/2010,2,2,50.0
168638,5718,GlobeShooter,advertising,1,unknown,,,0,0,,,0,0,,,0,1,50.0
168654,57199,Jet Cooper,unknown,1,CAN,,,0,0,,,0,0,01/04/2012,01/08/2013,2,7,50.0
168655,572,dpreview,web,1,USA,,,0,0,,,0,0,,,0,2,50.0
168666,5721,Kamera,games_video,1,SWE,,,0,0,,,0,0,01/08/1998,01/08/1998,1,7,50.0
168673,57216,Primerica,other,1,USA,,,0,0,,,0,0,01/01/2010,29/05/2013,2,4,50.0
168676,5722,LSI,hardware,1,USA,19/06/2006,06/06/2011,6,4,,,0,0,09/03/2011,02/07/2012,3,49,0.83
168703,57248,OneTrueFan,web,1,USA,,,0,0,01/09/2010,01/09/2010,1,1200000,27/02/2011,29/01/2012,2,8,50.0
168707,57252,Gifi,games_video,0,USA,,,0,0,01/01/2010,01/01/2010,1,1200000,01/01/2010,21/03/2011,2,3,50.0
168719,57265,plnnr,web,1,unknown,,,0,0,,,0,0,,,0,0,50.0
168732,5728,Sxip Identity,web,0,CAN,,,0,0,,,0,0,01/01/2005,13/08/2013,3,2,50.0
168750,57298,SPB Software,software,1,USA,,,0,0,,,0,0,05/10/2010,05/10/2010,1,2,50.0
168752,573,Sabre,web,1,USA,17/06/2008,17/06/2008,1,1,,,0,0,,,0,20,0.0
168790,57338,Votizen,web,1,USA,,,0,0,23/09/2010,24/02/2012,2,2250000,07/11/2011,10/01/2013,2,6,50.0
168802,5735,Identyx,software,1,USA,,,0,0,01/01/2005,01/01/2005,1,50000,,,0,1,50.0
168818,57367,Threewide,software,1,USA,,,0,0,,,0,0,,,0,0,50.0
168824,57372,Roboinvest,web,1,USA,,,0,0,18/10/2012,18/10/2012,1,125000,12/10/2010,12/10/2010,1,2,50.0
